x,y,label
"0.29829, 0.22683",,1
"0.29050, 0.16910",,1
"0.45847, 0.93205",,1
"0.26678, 0.049362",,1
"0.30965, 0.26177",,1
"0.44507, 0.83402",,1
"0.44624, 0.85721",,1
"0.40063, 0.62923",,1
"0.48906, 1.0188",,1
"0.47968, 0.97465",,1
"0.26510, 0.020479",,1
"0.46147, 0.88618",,1
"0.36321, 0.44526",,1
"0.28421, 0.092350",,1
"0.42803, 0.74558",,1
"0.42086, 0.68807",,1
"0.35774, 0.40816",,1
"0.40328, 0.60495",,1
"0.38748, 0.53748",,1
"0.38059, 0.50432",,1
"0.31258, 0.20529",,1
"0.27783, 0.053749",,1
"0.44517, 0.78816",,1
"0.35393, 0.37839",,1
"0.32917, 0.26856",,1
"0.29641, 0.12070",,1
"0.32298, 0.23342",,1
"0.43404, 0.72078",,1
"0.39949, 0.56758",,1
"0.37864, 0.47509",,1
"0.48670, 0.97490",,1
"0.48588, 0.94814",,1
"0.48094, 0.92363",,1
"0.31442, 0.18000",,1
"0.50062, 0.99804",,1
"0.46886, 0.85718",,1
"0.30896, 0.14809",,1
"0.35394, 0.33468",,1
"0.28734, 0.034192",,1
"0.45181, 0.76101",,1
"0.29673, 0.073258",,1
"0.28127, 0.0046983",,1
"0.51455, 1.0264",,1
"0.46694, 0.81522",,1
"0.43224, 0.66392",,1
"0.44090, 0.72036",,1
"0.40647, 0.56766",,1
"0.48785, 0.89766",,1
"0.38320, 0.43100",,1
"0.32140, 0.18008",,1
"0.43206, 0.63225",,1
"0.37175, 0.36223",,1
"0.51228, 0.97774",,1
"0.42717, 0.59771",,1
"0.31519, 0.10109",,1
"0.45210, 0.69799",,1
"0.41385, 0.52834",,1
"0.38505, 0.40318",,1
"0.35078, 0.24865",,1
"0.34358, 0.21671",,1
"0.40675, 0.49431",,1
"0.51023, 0.94804",,1
"0.39967, 0.45775",,1
"0.46366, 0.73382",,1
"0.42493, 0.56206",,1
"0.30215, 0.017558",,1
"0.52514, 1.0013",,1
"0.34059, 0.18542",,1
"0.31145, 0.053622",,1
"0.50821, 0.92368",,1
"0.49814, 0.87642",,1
"0.48959, 0.83851",,1
"0.36302, 0.27978",,1
"0.32914, 0.12693",,1
"0.33618, 0.15559",,1
"0.48085, 0.78944",,1
"0.37390, 0.31257",,1
"0.53778, 1.0291",,1
"0.35775, 0.24868",,1
"0.35056, 0.21679",,1
"0.48191, 0.76070",,1
"0.32887, 0.079442",,1
"0.31107, 0.00050114",,1
"0.46511, 0.67594",,1
"0.45199, 0.61518",,1
"0.38968, 0.34142",,1
"0.41146, 0.43026",,1
"0.39937, 0.37981",,1
"0.53549, 0.97261",,1
"0.32365, 0.033126",,1
"0.52414, 0.90427",,1
"0.43439, 0.50622",,1
"0.37249, 0.23171",,1
"0.53449, 0.94501",,1
"0.50578, 0.81768",,1
"0.34487, 0.10410",,1
"0.46698, 0.64303",,1
"0.44486, 0.54239",,1
"0.51514, 0.85406",,1
"0.42987, 0.47075",,1
"0.33595, 0.079970",,1
"0.48511, 0.71318",,1
"0.55108, 1.0006",,1
"0.38442, 0.26146",,1
"0.37186, 0.20062",,1
"0.41992, 0.40606",,1
"0.36546, 0.16710",,1
"0.35941, 0.13768",,1
"0.56364, 1.0280",,1
"0.41348, 0.36206",,1
"0.37938, 0.23140",,1
"0.34730, 0.060834",,1
"0.33767, 0.015569",,1
"0.53327, 0.88043",,1
"0.33448, -0.0037253",,1
"0.50362, 0.74379",,1
"0.49214, 0.68773",,1
"0.55978, 0.98001",,1
"0.54630, 0.92278",,1
"0.44064, 0.44390",,1
"0.41558, 0.32762",,1
"0.48510, 0.62308",,1
"0.36428, 0.087274",,1
"0.56099, 0.95450",,1
"0.53394, 0.83453",,1
"0.39720, 0.22040",,1
"0.37371, 0.11621",,1
"0.43578, 0.38634",,1
"0.39127, 0.18638",,1
"0.35811, 0.039311",,1
"0.40684, 0.25283",,1
"0.38452, 0.15131",,1
"0.56690, 0.98070",,1
"0.57989, 1.0074",,1
"0.41655, 0.28563",,1
"0.51698, 0.72072",,1
"0.55405, 0.86709",,1
"0.56356, 0.90416",,1
"0.53191, 0.76378",,1
"0.35918, -0.0022653",,1
"0.45521, 0.41847",,1
"0.54429, 0.81096",,1
"0.36508, 0.039338",,1
"0.57430, 0.93631",,1
"0.58881, 0.99038",,1
"0.44531, 0.35914",,1
"0.38095, 0.071129",,1
"0.46977, 0.45476",,1
"0.37374, 0.021167",,1
"0.58701, 0.96442",,1
"0.52565, 0.69226",,1
"0.39229, 0.10085",,1
"0.51317, 0.63179",,1
"0.44586, 0.33073",,1
"0.57062, 0.90458",,1
"0.41681, 0.19933",,1
"0.36624, -0.0017924",,1
"0.56441, 0.84618",,1
"0.40290, 0.13248",,1
"0.38654, 0.049622",,1
"0.55519, 0.78986",,1
"0.42860, 0.23101",,1
"0.41404, 0.16644",,1
"0.46591, 0.38874",,1
"0.44231, 0.30725",,1
"0.43768, 0.26615",,1
"0.58877, 0.91817",,1
"0.54853, 0.74231",,1
"0.58241, 0.88483",,1
"0.45292, 0.33115",,1
"0.61071, 1.0001",,1
"0.38421, -0.0040389",,1
"0.58062, 0.85461",,1
"0.57457, 0.81918",,1
"0.54072, 0.66905",,1
"0.48394, 0.41984",,1
"0.40760, 0.081269",,1
"0.55076, 0.70846",,1
"0.60790, 0.94898",,1
"0.39911, 0.023053",,1
"0.47689, 0.36284",,1
"0.42093, 0.11467",,1
"0.61620, 0.97553",,1
"0.43037, 0.15139",,1
"0.59105, 0.85884",,1
"0.57138, 0.76646",,1
"0.44125, 0.18934",,1
"0.44954, 0.21839",,1
"0.41218, 0.050130",,1
"0.46737, 0.28717",,1
"0.60567, 0.89792",,1
"0.55781, 0.70882",,1
"0.53724, 0.58676",,1
"0.47850, 0.32883",,1
"0.49656, 0.39603",,1
