x,y,label
0.6471,0.2649,vdj_nextgem_hs_pbmc156
0.6839,0.2627,vdj_nextgem_hs_pbmc157
0.9537,0.2423,vdj_nextgem_hs_pbmc158
0.5225,0.2716,vdj_nextgem_hs_pbmc159
0.09723,0.2998,vdj_nextgem_hs_pbmc160
0.1503,0.2893,vdj_nextgem_hs_pbmc161
0.7113,0.2655,vdj_nextgem_hs_pbmc162
0.3826,0.2809,vdj_nextgem_hs_pbmc163
0.7584,0.2624,vdj_nextgem_hs_pbmc164
0.4438,0.2921,vdj_nextgem_hs_pbmc165
1.116,0.2576,vdj_nextgem_hs_pbmc166
0.7909,0.2698,vdj_nextgem_hs_pbmc167
0.01554,0.3219,vdj_nextgem_hs_pbmc168
0.8959,0.2797,vdj_nextgem_hs_pbmc169
0.9954,0.2688,vdj_nextgem_hs_pbmc170
0.4741,0.3095,vdj_nextgem_hs_pbmc171
0.5975,0.2995,vdj_nextgem_hs_pbmc172
1.066,0.2748,vdj_nextgem_hs_pbmc173
0.05649,0.3298,vdj_nextgem_hs_pbmc174
0.2988,0.3121,vdj_nextgem_hs_pbmc175
0.53,0.3061,vdj_nextgem_hs_pbmc176
0.8443,0.2838,vdj_nextgem_hs_pbmc177
1.153,0.2788,vdj_nextgem_hs_pbmc178
0.6706,0.3047,vdj_nextgem_hs_pbmc179
0.6989,0.299,vdj_nextgem_hs_pbmc180
0.4281,0.3291,vdj_nextgem_hs_pbmc181
0.2277,0.3367,vdj_nextgem_hs_pbmc182
0.7595,0.3179,vdj_nextgem_hs_pbmc183
0.8777,0.3092,vdj_nextgem_hs_pbmc184
0.1562,0.3503,vdj_nextgem_hs_pbmc185
0.4682,0.3248,vdj_nextgem_hs_pbmc186
0.5778,0.3302,vdj_nextgem_hs_pbmc187
1.063,0.2971,vdj_nextgem_hs_pbmc188
0.0657,0.3627,vdj_nextgem_hs_pbmc189
1.014,0.3149,vdj_nextgem_hs_pbmc190
0.2662,0.3453,vdj_nextgem_hs_pbmc191
0.5502,0.3456,vdj_nextgem_hs_pbmc192
1.143,0.3182,vdj_nextgem_hs_pbmc193
0.6769,0.3408,vdj_nextgem_hs_pbmc194
-0.02535,0.379,vdj_nextgem_hs_pbmc195
0.8236,0.3317,vdj_nextgem_hs_pbmc196
1.105,0.3181,vdj_nextgem_hs_pbmc197
0.7176,0.3412,vdj_nextgem_hs_pbmc198
0.3845,0.3676,vdj_nextgem_hs_pbmc199
0.446,0.3762,vdj_nextgem_hs_pbmc200
0.6156,0.3567,vdj_nextgem_hs_pbmc201
0.06703,0.3912,vdj_nextgem_hs_pbmc202
0.3908,0.3753,vdj_nextgem_hs_pbmc203
0.7699,0.3612,vdj_nextgem_hs_pbmc204
0.9331,0.3517,vdj_nextgem_hs_pbmc205
1.012,0.3503,vdj_nextgem_hs_pbmc206
0.132,0.3865,vdj_nextgem_hs_pbmc207
0.2071,0.3869,vdj_nextgem_hs_pbmc208
0.5674,0.3742,vdj_nextgem_hs_pbmc209
0.6604,0.3717,vdj_nextgem_hs_pbmc210
0.8691,0.3533,vdj_nextgem_hs_pbmc211
1.168,0.3371,vdj_nextgem_hs_pbmc212
0.8105,0.3592,vdj_nextgem_hs_pbmc213
1.103,0.3403,vdj_nextgem_hs_pbmc214
0.314,0.394,vdj_nextgem_hs_pbmc215
0.1688,0.4036,vdj_nextgem_hs_pbmc216
0.257,0.4068,vdj_nextgem_hs_pbmc217
0.002932,0.4188,vdj_nextgem_hs_pbmc218
0.0447,0.4044,vdj_nextgem_hs_pbmc219
0.9838,0.3627,vdj_nextgem_hs_pbmc220
0.478,0.3939,vdj_nextgem_hs_pbmc221
0.7087,0.388,vdj_nextgem_hs_pbmc222
1.046,0.3747,vdj_nextgem_hs_pbmc223
0.3709,0.4092,vdj_nextgem_hs_pbmc224
0.4636,0.4104,vdj_nextgem_hs_pbmc225
0.7575,0.4003,vdj_nextgem_hs_pbmc226
0.9308,0.383,vdj_nextgem_hs_pbmc227
0.3981,0.4102,vdj_nextgem_hs_pbmc228
0.5734,0.4122,vdj_nextgem_hs_pbmc229
0.101,0.4321,vdj_nextgem_hs_pbmc230
0.6625,0.406,vdj_nextgem_hs_pbmc231
1.097,0.3782,vdj_nextgem_hs_pbmc232
